Telugu,Tamil,Unnamed: 0
"మేము భిన్నంగా పనులు ఒక బిట్, మరియు మేము ఇష్టపడతారని మార్గం! 
","நாம் வித்தியாசமாக விஷயங்களை ஒரு பிட் செய்ய, அந்த நாம் பிடிக்கும் வழி! 
",139.0
"కాని అతను ఆమె ఎలా ఆగిపోతుంది?? 
","ஆனால் அவன் அவளை எப்படி நிறுத்திவிடுவார்?? 
",140.0
"ఏప్రిల్ 11, 2017 
","ஏப்ரல் 11, 2017 
",141.0
"హలో! మీరు ఎలా ఉన్నారు? 
","ஹலோ! நீ எப்படி இருக்கிறாய்? 
",142.0
"ఫోన్: +86 13928472576 
","தொலைபேசி: +86 13928472576 
",143.0
"టెల్: 0086-574-88405107 
","தொலைபேசி: 0086-574-88405107 
",144.0
"ఎందుకు నేను కూడా ప్రయత్నించాలి? 
","நான் ஏன் கூட முயற்சிக்க வேண்டும்? 
",145.0
"మనిషి: అదా, నాకు తెలియదు. 
","இளைஞன்: ஆம், அது எனக்கு தெரியாது. 
",146.0
"మేము మీకోసం వేచి ఉన్నాము! 
","நாங்கள் உங்களுக்காக காத்திருக்கிறோம்! 
",147.0
"మరో విషయం మీకు తెలియదు! 
","உங்களுக்கு இன்னொரு விஷயம் தெரியாது! 
",148.0
"మేము దేవుని నేరుగా వెళ్ళవచ్చు 
","நாம் கடவுளிடம் நேரடியாக செல்ல முடியும் 
",149.0
"మీ సహాయం కావాలి !: 
","உங்கள் உதவி தேவை !: 
",150.0
"ఎందుకు మీరు ఎల్లప్పుడూ కలిగి అనుకుంటున్నారు? 
","ஏன் நீங்கள் எப்போதும் வேண்டும் என்று விரும்புகிறீர்கள்? 
",151.0
"ఫోన్: 086-531-61326383 
","தொலைபேசி: 086-531-61326383 
",152.0
"మాకు సహకరించిన దయచేసి! 
","எங்களை ஒத்துைழயுங்கள் கொள்ளவும்! 
",153.0
"మీరు ఏ అవసరం ఉంటే, దయచేసి ఏ సమయంలో మాకు సంప్రదించండి! 
","நீங்கள் எந்த தேவை இருந்தால், எந்த நேரத்தில் எங்களை தொடர்பு! 
",154.0
"ఎంత జేబులో డబ్బు ఉండాలి? 
","எவ்வளவு பாக்கெட் பணம் இருக்க வேண்டும்? 
",155.0
"చెడు లేదు, కుడి? 
","மோசமான இல்லையா? 
",156.0
"మిస్లేలొడ్ 0.07mm 3D ప్రీ-ఫిన్డ్ వాల్యూమ్ వెంటెష్ న్యూ ప్యాకేజీ 3pcs 
","Misslamode 0.07mm 5D முன்-புதைந்த தொகுதி கண்ணிமை புதிய தொகுப்பு C சுருட்டை 3pcs 
",157.0
"$50/గంట 
","$50/மணி நேரம் 
",158.0
"సెలీనా: నేను మీరు సహాయం మే? 
","செலீனா: நான் உங்களுக்கு உதவலாமா? 
",159.0
"ఫ్యాక్స్: 86 0755 29672925 
","தொலைநகல்: 86 0755 29672925 
",160.0
"అయితే, మంచి ఉద్యోగం! 
","எனினும், நல்ல வேலை! 
",161.0
"మేము దేవుని కోసం మా బహుమతులు ఎలా ఉపయోగించగలను? 
","எப்படி நாம் கடவுள்மீது பரிசுகள் பயன்படுத்தவும்? 
",162.0
"ఇప్పటి నుండి మీరు Facebook న మాకు అనుసరించండి మరియు చేయవచ్చు 
","இப்போது நீங்கள் facebook நம்மை பின்பற்ற முடியும் 
",163.0
"మేము సహాయం కోసం ఇక్కడ ఉన్నాము 
","நாங்கள் உதவ இங்கே இருக்கிறோம் 
",164.0
"అవును, మీరు పొందుతున్న దాని కోసం చెల్లించాలి! 
","ஆமாம், நீங்கள் என்ன பணம் சம்பாதிக்கிறீர்கள்! 
",165.0
"ఇది ఎలా చెయ్యాలి??? 
","அதை செய்ய எப்படி??? 
",166.0
"మీరు ఏమి చెయ్యాలనుకుంటున్నారు? 
","நீங்கள் என்ன செய்ய விரும்புகிறீர்கள்? 
",167.0
"ఇప్పుడు మాకు కాల్: +86 755 83193425 
","இப்போது எங்களுக்கு அழைப்பு: +86 755 83193425 
",168.0
"ఈ కథ మీ జీవితాన్ని మార్చగలదు. 
","இந்தக் கதை உங்கள் வாழ்க்கையை மாற்றலாம். 
",169.0
"(గత 5 నిమిషాలు) 
","(கடந்த 5 நிமிடங்கள்) 
",170.0
"ఎవరు మేము మరియు మేము ఏమి 
","நாம் யார் மற்றும் நாம் என்ன செய்கிறோம் 
",171.0
"మీరు ఏం తెలుసుకోవచ్చు: 
","என்ன நீங்கள் கற்றுக்கொள்ளலாம்: 
",172.0
"* మీరు మానవ ఉంటే తనిఖీ. 
","* நீங்கள் மனித இருந்தால் சரிபார்த்து. 
",173.0
"15 మే, 2015 
","15 மே, 2015 
",174.0
"ఎల్లప్పుడూ ఒక పరిష్కారం ఉంది! 
","எப்போதும் ஒரு தீர்வு இருக்கிறது! 
",175.0
