Telugu,Tamil,Tamil_tokens,Telugu_tokens
కానీ అక్కడ ఆపడానికి లేదు,ஆனால் அங்கு நிறுத்த வேண்டாம்,"['ஆனால்', 'அங்கு', 'நிறுத்த', 'வேண்டாம்']","['కానీ', 'అక్కడ', 'ఆపడానికి', 'లేదు']"
నేను మీకు ఎలా సహాయపడగలను,உங்களுக்காக நான் என்ன செய்ய முடியும்,"['உங்களுக்காக', 'நான்', 'என்ன', 'செய்ய', 'முடியும்']","['నేను', 'మీకు', 'ఎలా', 'సహాయపడగలను']"
ఎందుకు ఎలా ఎవరు ఏమి ద్వారా,ஏன் எப்படி யார் என்ன மூலம்,"['ஏன்', 'எப்படி', 'யார்', 'என்ன', 'மூலம்']","['ఎందుకు', 'ఎలా', 'ఎవరు', 'ఏమి', 'ద్వారా']"
మీరు ప్రపంచంలో ఏ ఆలోచిస్తే,நீங்கள் உலகில் என்ன நினைக்கிறீர்கள்,"['நீங்கள்', 'உலகில்', 'என்ன', 'நினைக்கிறீர்கள்']","['మీరు', 'ప్రపంచంలో', 'ఏ', 'ఆలోచిస్తే']"
మీరు వాటిని తిరిగి పొందడానికి ఏమి చేయాలి,நீங்கள் அவற்றை திரும்ப பெற என்ன செய்ய வேண்டும்,"['நீங்கள்', 'அவற்றை', 'திரும்ப', 'பெற', 'என்ன', 'செய்ய', 'வேண்டும்']","['మీరు', 'వాటిని', 'తిరిగి', 'పొందడానికి', 'ఏమి', 'చేయాలి']"
నీవు ప్రజలందరి యెదుట సిద్ధం చేసిన,உம்முடைய இரட்சிப்பு உம்மிடத்தில் இருக்கிறது,"['உம்முடைய', 'இரட்சிப்பு', 'உம்மிடத்தில்', 'இருக்கிறது']","['నీవు', 'ప్రజలందరి', 'యెదుట', 'సిద్ధం', 'చేసిన']"
కొత్త మీరు కావలసిన మాకు అనుసరించండి,புதிய நீங்கள் அதை விரும்பவில்லை என நம்மை பின்பற்ற,"['புதிய', 'நீங்கள்', 'அதை', 'விரும்பவில்லை', 'என', 'நம்மை', 'பின்பற்ற']","['కొత్త', 'మీరు', 'కావలసిన', 'మాకు', 'అనుసరించండి']"
అవ్యక్త  వ్యక్తముకానిది అక్షర  నాశములేనిది ఇతి  ఆ విధముగా ఉక్త  చెప్పబడినది తం  అది ఆహు  తెలియబడినది పరమాంగతిమ్  తుది గమ్యము యం  దేనిని ప్రాప్య  పొంది న నివర్తన్తే  తిరిగిరారో తత్  అట్టి ధామ  ధామము పరమం  దివ్యమైనది మమ  నా యొక్క,அவ்யக்த—தோற்றமற்ற அக்ஷர—அழிவற்ற இதி—இவ்வாறாக உக்த— கூறப்படும் தம்—அந்த ஆஹு—அறியப்பட்ட பரமாம்—பரம கதிம்—கதி யம்— எதை ப்ராப்ய—அடைந்தபின் ந—என்றும் இல்லை நிவர்த்தந்தே—திரும்பி வருவது தத்—அந்த தாம—இருப்பிடம் பரமம்—பரம மம—எனது,"['அவ்யக்த—தோற்றமற்ற', 'அக்ஷர—அழிவற்ற', 'இதி—இவ்வாறாக', 'உக்த—', 'கூறப்படும்', 'தம்—அந்த', 'ஆஹு—அறியப்பட்ட', 'பரமாம்—பரம', 'கதிம்—கதி', 'யம்—', 'எதை', 'ப்ராப்ய—அடைந்தபின்', 'ந—என்றும்', 'இல்லை', 'நிவர்த்தந்தே—திரும்பி', 'வருவது', 'தத்—அந்த', 'தாம—இருப்பிடம்', 'பரமம்—பரம', 'மம—எனது']","['అవ్యక్త', 'వ్యక్తముకానిది', 'అక్షర', 'నాశములేనిది', 'ఇతి', 'ఆ', 'విధముగా', 'ఉక్త', 'చెప్పబడినది', 'తం', 'అది', 'ఆహు', 'తెలియబడినది', 'పరమాంగతిమ్', 'తుది', 'గమ్యము', 'యం', 'దేనిని', 'ప్రాప్య', 'పొంది', 'న', 'నివర్తన్తే', 'తిరిగిరారో', 'తత్', 'అట్టి', 'ధామ', 'ధామము', 'పరమం', 'దివ్యమైనది', 'మమ', 'నా', 'యొక్క']"
మేము ఎల్లప్పుడూ మీరు సహాయం సిద్ధంగా ఉన్నారు,நாம் எப்போதும் உங்களுக்கு உதவ தயாராக உள்ளன,"['நாம்', 'எப்போதும்', 'உங்களுக்கு', 'உதவ', 'தயாராக', 'உள்ளன']","['మేము', 'ఎల్లప్పుడూ', 'మీరు', 'సహాయం', 'సిద్ధంగా', 'ఉన్నారు']"
మాకు ఎవరు మేము మీరు కోసం చేయవచ్చు ఏమి,எங்களுக்கு யார் நாங்கள் உங்களுக்கு என்ன செய்ய முடியும்,"['எங்களுக்கு', 'யார்', 'நாங்கள்', 'உங்களுக்கு', 'என்ன', 'செய்ய', 'முடியும்']","['మాకు', 'ఎవరు', 'మేము', 'మీరు', 'కోసం', 'చేయవచ్చు', 'ఏమి']"
