Tamil Tokens,Telugu Tokens,Tamil Bigrams,Telugu Bigrams,Telugu POS Tags,Telugu NER,Tamil Token Frequency,Telugu Token Frequency,Cosine Similarity
"['உங்கள்', 'வீட்டிற்கு', 'எப்போது', 'போகிறீர்கள்']","['మీ', 'ఇంటికి', 'ఎప్పుడు', 'వెళ్ళతారు']","{('உங்கள்', 'வீட்டிற்கு'): 0.3333333333333333, ('வீட்டிற்கு', 'எப்போது'): 0.3333333333333333, ('எப்போது', 'போகிறீர்கள்'): 0.3333333333333333}","{('మీ', 'ఇంటికి'): 0.3333333333333333, ('ఇంటికి', 'ఎప్పుడు'): 0.3333333333333333, ('ఎప్పుడు', 'వెళ్ళతారు'): 0.3333333333333333}","[('మీ', 'OTHER'), ('ఇంటికి', 'OTHER'), ('ఎప్పుడు', 'OTHER'), ('వెళ్ళతారు', 'OTHER')]","[('మీ', 'O'), ('ఇంటికి', 'O'), ('ఎప్పుడు', 'O'), ('వెళ్ళతారు', 'O')]","{'உங்கள்': 1, 'வீட்டிற்கு': 1, 'எப்போது': 1, 'போகிறீர்கள்': 1}","{'మీ': 1, 'ఇంటికి': 1, 'ఎప్పుడు': 1, 'వెళ్ళతారు': 1}",0.0
"['நான்', 'நீங்கள்', 'கூறியதை', 'செய்து', 'முடித்தேன்']","['నేను', 'మీరు', 'చెప్పిన', 'పని', 'పూర్తి', 'చేశాను']","{('நான்', 'நீங்கள்'): 0.25, ('நீங்கள்', 'கூறியதை'): 0.25, ('கூறியதை', 'செய்து'): 0.25, ('செய்து', 'முடித்தேன்'): 0.25}","{('నేను', 'మీరు'): 0.2, ('మీరు', 'చెప్పిన'): 0.2, ('చెప్పిన', 'పని'): 0.2, ('పని', 'పూర్తి'): 0.2, ('పూర్తి', 'చేశాను'): 0.2}","[('నేను', 'OTHER'), ('మీరు', 'OTHER'), ('చెప్పిన', 'OTHER'), ('పని', 'OTHER'), ('పూర్తి', 'OTHER'), ('చేశాను', 'OTHER')]","[('నేను', 'O'), ('మీరు', 'O'), ('చెప్పిన', 'O'), ('పని', 'O'), ('పూర్తి', 'O'), ('చేశాను', 'O')]","{'நான்': 1, 'நீங்கள்': 1, 'கூறியதை': 1, 'செய்து': 1, 'முடித்தேன்': 1}","{'నేను': 1, 'మీరు': 1, 'చెప్పిన': 1, 'పని': 1, 'పూర్తి': 1, 'చేశాను': 1}",0.0
"['இந்த', 'வண்டி', 'எனக்கு', 'மிகவும்', 'பிடித்தமானது']","['ఈ', 'కారు', 'నాకు', 'చాలా', 'ఇష్టం']","{('இந்த', 'வண்டி'): 0.25, ('வண்டி', 'எனக்கு'): 0.25, ('எனக்கு', 'மிகவும்'): 0.25, ('மிகவும்', 'பிடித்தமானது'): 0.25}","{('ఈ', 'కారు'): 0.25, ('కారు', 'నాకు'): 0.25, ('నాకు', 'చాలా'): 0.25, ('చాలా', 'ఇష్టం'): 0.25}","[('ఈ', 'OTHER'), ('కారు', 'OTHER'), ('నాకు', 'OTHER'), ('చాలా', 'OTHER'), ('ఇష్టం', 'OTHER')]","[('ఈ', 'O'), ('కారు', 'O'), ('నాకు', 'O'), ('చాలా', 'O'), ('ఇష్టం', 'O')]","{'இந்த': 1, 'வண்டி': 1, 'எனக்கு': 1, 'மிகவும்': 1, 'பிடித்தமானது': 1}","{'ఈ': 1, 'కారు': 1, 'నాకు': 1, 'చాలా': 1, 'ఇష్టం': 1}",0.0
"['நான்', 'எதையும்', 'மறக்கமாட்டேன்']","['నేను', 'ఏదీ', 'మర్చిపోను']","{('நான்', 'எதையும்'): 0.5, ('எதையும்', 'மறக்கமாட்டேன்'): 0.5}","{('నేను', 'ఏదీ'): 0.5, ('ఏదీ', 'మర్చిపోను'): 0.5}","[('నేను', 'OTHER'), ('ఏదీ', 'OTHER'), ('మర్చిపోను', 'OTHER')]","[('నేను', 'O'), ('ఏదీ', 'O'), ('మర్చిపోను', 'O')]","{'நான்': 1, 'எதையும்': 1, 'மறக்கமாட்டேன்': 1}","{'నేను': 1, 'ఏదీ': 1, 'మర్చిపోను': 1}",0.0
"['நீ', 'என்னிடம்', 'இதை', 'கூறியிருந்தால்']","['నువ్వు', 'నాకు', 'ఇది', 'చెప్పుంటే']","{('நீ', 'என்னிடம்'): 0.3333333333333333, ('என்னிடம்', 'இதை'): 0.3333333333333333, ('இதை', 'கூறியிருந்தால்'): 0.3333333333333333}","{('నువ్వు', 'నాకు'): 0.3333333333333333, ('నాకు', 'ఇది'): 0.3333333333333333, ('ఇది', 'చెప్పుంటే'): 0.3333333333333333}","[('నువ్వు', 'OTHER'), ('నాకు', 'OTHER'), ('ఇది', 'OTHER'), ('చెప్పుంటే', 'OTHER')]","[('నువ్వు', 'O'), ('నాకు', 'O'), ('ఇది', 'O'), ('చెప్పుంటే', 'O')]","{'நீ': 1, 'என்னிடம்': 1, 'இதை': 1, 'கூறியிருந்தால்': 1}","{'నువ్వు': 1, 'నాకు': 1, 'ఇది': 1, 'చెప్పుంటే': 1}",0.0
"['இது', 'எனக்கு', 'பிடிக்கவில்லை']","['ఇది', 'నాకు', 'నచ్చదు']","{('இது', 'எனக்கு'): 0.5, ('எனக்கு', 'பிடிக்கவில்லை'): 0.5}","{('ఇది', 'నాకు'): 0.5, ('నాకు', 'నచ్చదు'): 0.5}","[('ఇది', 'OTHER'), ('నాకు', 'OTHER'), ('నచ్చదు', 'OTHER')]","[('ఇది', 'O'), ('నాకు', 'O'), ('నచ్చదు', 'O')]","{'இது': 1, 'எனக்கு': 1, 'பிடிக்கவில்லை': 1}","{'ఇది': 1, 'నాకు': 1, 'నచ్చదు': 1}",0.0
"['அவள்', 'என்னிடம்', 'பேசினாள்']","['ఆమె', 'నాతో', 'మాట్లాడింది']","{('அவள்', 'என்னிடம்'): 0.5, ('என்னிடம்', 'பேசினாள்'): 0.5}","{('ఆమె', 'నాతో'): 0.5, ('నాతో', 'మాట్లాడింది'): 0.5}","[('ఆమె', 'OTHER'), ('నాతో', 'OTHER'), ('మాట్లాడింది', 'OTHER')]","[('ఆమె', 'O'), ('నాతో', 'O'), ('మాట్లాడింది', 'O')]","{'அவள்': 1, 'என்னிடம்': 1, 'பேசினாள்': 1}","{'ఆమె': 1, 'నాతో': 1, 'మాట్లాడింది': 1}",0.0
"['நான்', 'இதை', 'ஒருநாள்', 'கண்டுபிடிக்கிறேன்']","['నేను', 'దీన్ని', 'ఒక', 'రోజు', 'కనుగొంటాను']","{('நான்', 'இதை'): 0.3333333333333333, ('இதை', 'ஒருநாள்'): 0.3333333333333333, ('ஒருநாள்', 'கண்டுபிடிக்கிறேன்'): 0.3333333333333333}","{('నేను', 'దీన్ని'): 0.25, ('దీన్ని', 'ఒక'): 0.25, ('ఒక', 'రోజు'): 0.25, ('రోజు', 'కనుగొంటాను'): 0.25}","[('నేను', 'OTHER'), ('దీన్ని', 'OTHER'), ('ఒక', 'OTHER'), ('రోజు', 'OTHER'), ('కనుగొంటాను', 'OTHER')]","[('నేను', 'O'), ('దీన్ని', 'O'), ('ఒక', 'O'), ('రోజు', 'O'), ('కనుగొంటాను', 'O')]","{'நான்': 1, 'இதை': 1, 'ஒருநாள்': 1, 'கண்டுபிடிக்கிறேன்': 1}","{'నేను': 1, 'దీన్ని': 1, 'ఒక': 1, 'రోజు': 1, 'కనుగొంటాను': 1}",0.0
"['இந்தப்', 'பழம்', 'இனிமையாக', 'உள்ளது']","['ఈ', 'పండు', 'తీయగా', 'ఉంది']","{('இந்தப்', 'பழம்'): 0.3333333333333333, ('பழம்', 'இனிமையாக'): 0.3333333333333333, ('இனிமையாக', 'உள்ளது'): 0.3333333333333333}","{('ఈ', 'పండు'): 0.3333333333333333, ('పండు', 'తీయగా'): 0.3333333333333333, ('తీయగా', 'ఉంది'): 0.3333333333333333}","[('ఈ', 'OTHER'), ('పండు', 'OTHER'), ('తీయగా', 'OTHER'), ('ఉంది', 'OTHER')]","[('ఈ', 'O'), ('పండు', 'O'), ('తీయగా', 'O'), ('ఉంది', 'O')]","{'இந்தப்': 1, 'பழம்': 1, 'இனிமையாக': 1, 'உள்ளது': 1}","{'ఈ': 1, 'పండు': 1, 'తీయగా': 1, 'ఉంది': 1}",0.0
"['நான்', 'உங்களுடன்', 'வர', 'விரும்புகிறேன்']","['నేను', 'మీతో', 'రావాలనుకుంటున్నాను']","{('நான்', 'உங்களுடன்'): 0.3333333333333333, ('உங்களுடன்', 'வர'): 0.3333333333333333, ('வர', 'விரும்புகிறேன்'): 0.3333333333333333}","{('నేను', 'మీతో'): 0.5, ('మీతో', 'రావాలనుకుంటున్నాను'): 0.5}","[('నేను', 'OTHER'), ('మీతో', 'OTHER'), ('రావాలనుకుంటున్నాను', 'OTHER')]","[('నేను', 'O'), ('మీతో', 'O'), ('రావాలనుకుంటున్నాను', 'O')]","{'நான்': 1, 'உங்களுடன்': 1, 'வர': 1, 'விரும்புகிறேன்': 1}","{'నేను': 1, 'మీతో': 1, 'రావాలనుకుంటున్నాను': 1}",0.0
"['நீ', 'என்னை', 'காத்திரு']","['నువ్వు', 'నన్ను', 'వేచి', 'ఉండు']","{('நீ', 'என்னை'): 0.5, ('என்னை', 'காத்திரு'): 0.5}","{('నువ్వు', 'నన్ను'): 0.3333333333333333, ('నన్ను', 'వేచి'): 0.3333333333333333, ('వేచి', 'ఉండు'): 0.3333333333333333}","[('నువ్వు', 'OTHER'), ('నన్ను', 'OTHER'), ('వేచి', 'OTHER'), ('ఉండు', 'OTHER')]","[('నువ్వు', 'O'), ('నన్ను', 'O'), ('వేచి', 'O'), ('ఉండు', 'O')]","{'நீ': 1, 'என்னை': 1, 'காத்திரு': 1}","{'నువ్వు': 1, 'నన్ను': 1, 'వేచి': 1, 'ఉండు': 1}",0.0
"['நான்', 'அதை', 'இப்போது', 'செய்யவில்லையா']","['నేను', 'అది', 'ఇప్పడు', 'చేయలేదా']","{('நான்', 'அதை'): 0.3333333333333333, ('அதை', 'இப்போது'): 0.3333333333333333, ('இப்போது', 'செய்யவில்லையா'): 0.3333333333333333}","{('నేను', 'అది'): 0.3333333333333333, ('అది', 'ఇప్పడు'): 0.3333333333333333, ('ఇప్పడు', 'చేయలేదా'): 0.3333333333333333}","[('నేను', 'OTHER'), ('అది', 'OTHER'), ('ఇప్పడు', 'OTHER'), ('చేయలేదా', 'OTHER')]","[('నేను', 'O'), ('అది', 'O'), ('ఇప్పడు', 'O'), ('చేయలేదా', 'O')]","{'நான்': 1, 'அதை': 1, 'இப்போது': 1, 'செய்யவில்லையா': 1}","{'నేను': 1, 'అది': 1, 'ఇప్పడు': 1, 'చేయలేదా': 1}",0.0
"['உங்கள்', 'பிறந்த', 'நாள்', 'எப்போது']","['మీ', 'పుట్టిన', 'రోజు', 'ఎప్పుడు']","{('உங்கள்', 'பிறந்த'): 0.3333333333333333, ('பிறந்த', 'நாள்'): 0.3333333333333333, ('நாள்', 'எப்போது'): 0.3333333333333333}","{('మీ', 'పుట్టిన'): 0.3333333333333333, ('పుట్టిన', 'రోజు'): 0.3333333333333333, ('రోజు', 'ఎప్పుడు'): 0.3333333333333333}","[('మీ', 'OTHER'), ('పుట్టిన', 'OTHER'), ('రోజు', 'OTHER'), ('ఎప్పుడు', 'OTHER')]","[('మీ', 'O'), ('పుట్టిన', 'O'), ('రోజు', 'O'), ('ఎప్పుడు', 'O')]","{'உங்கள்': 1, 'பிறந்த': 1, 'நாள்': 1, 'எப்போது': 1}","{'మీ': 1, 'పుట్టిన': 1, 'రోజు': 1, 'ఎప్పుడు': 1}",0.0
"['அவன்', 'விரைவில்', 'திரும்பிவிடுவான்']","['అతను', 'త్వరగా', 'తిరిగి', 'వస్తాడు']","{('அவன்', 'விரைவில்'): 0.5, ('விரைவில்', 'திரும்பிவிடுவான்'): 0.5}","{('అతను', 'త్వరగా'): 0.3333333333333333, ('త్వరగా', 'తిరిగి'): 0.3333333333333333, ('తిరిగి', 'వస్తాడు'): 0.3333333333333333}","[('అతను', 'OTHER'), ('త్వరగా', 'OTHER'), ('తిరిగి', 'OTHER'), ('వస్తాడు', 'OTHER')]","[('అతను', 'O'), ('త్వరగా', 'O'), ('తిరిగి', 'O'), ('వస్తాడు', 'O')]","{'அவன்': 1, 'விரைவில்': 1, 'திரும்பிவிடுவான்': 1}","{'అతను': 1, 'త్వరగా': 1, 'తిరిగి': 1, 'వస్తాడు': 1}",0.0
"['இந்தக்', 'கோடு', 'நல்லது']","['ఈ', 'లైన్', 'బాగుంది']","{('இந்தக்', 'கோடு'): 0.5, ('கோடு', 'நல்லது'): 0.5}","{('ఈ', 'లైన్'): 0.5, ('లైన్', 'బాగుంది'): 0.5}","[('ఈ', 'OTHER'), ('లైన్', 'OTHER'), ('బాగుంది', 'OTHER')]","[('ఈ', 'O'), ('లైన్', 'O'), ('బాగుంది', 'O')]","{'இந்தக்': 1, 'கோடு': 1, 'நல்லது': 1}","{'ఈ': 1, 'లైన్': 1, 'బాగుంది': 1}",0.0
"['நான்', 'உங்கள்', 'உதவியைப்', 'பெற', 'விரும்புகிறேன்']","['నేను', 'మీ', 'సహాయాన్ని', 'పొందాలనుకుంటున్నాను']","{('நான்', 'உங்கள்'): 0.25, ('உங்கள்', 'உதவியைப்'): 0.25, ('உதவியைப்', 'பெற'): 0.25, ('பெற', 'விரும்புகிறேன்'): 0.25}","{('నేను', 'మీ'): 0.3333333333333333, ('మీ', 'సహాయాన్ని'): 0.3333333333333333, ('సహాయాన్ని', 'పొందాలనుకుంటున్నాను'): 0.3333333333333333}","[('నేను', 'OTHER'), ('మీ', 'OTHER'), ('సహాయాన్ని', 'OTHER'), ('పొందాలనుకుంటున్నాను', 'OTHER')]","[('నేను', 'O'), ('మీ', 'O'), ('సహాయాన్ని', 'O'), ('పొందాలనుకుంటున్నాను', 'O')]","{'நான்': 1, 'உங்கள்': 1, 'உதவியைப்': 1, 'பெற': 1, 'விரும்புகிறேன்': 1}","{'నేను': 1, 'మీ': 1, 'సహాయాన్ని': 1, 'పొందాలనుకుంటున్నాను': 1}",0.0
