Telugu,Tamil,Tamil_tokens,Telugu_tokens,Tamil_POS,Telugu_POS,Tamil_NER,Telugu_NER
నేను దీన్ని ఒక రోజు కనుగొంటాను,நான் இதை ஒருநாள் கண்டுபிடிக்கிறேன்,"['நான்', 'இதை', 'ஒருநாள்', 'கண்டுபிடிக்கிறேன்']","['నేను', 'దీన్ని', 'ఒక', 'రోజు', 'కనుగొంటాను']","[('நான்', 'NOUN'), ('இதை', 'NOUN'), ('ஒருநாள்', 'NOUN'), ('கண்டுபிடிக்கிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('దీన్ని', 'NOUN'), ('ఒక', 'NOUN'), ('రోజు', 'NOUN'), ('కనుగొంటాను', 'NOUN')]","[('நான்', 'O'), ('இதை', 'O'), ('ஒருநாள்', 'O'), ('கண்டுபிடிக்கிறேன்', 'O')]","[('నేను', 'O'), ('దీన్ని', 'O'), ('ఒక', 'O'), ('రోజు', 'O'), ('కనుగొంటాను', 'O')]"
ఈ పండు తీయగా ఉంది,இந்தப் பழம் இனிமையாக உள்ளது,"['இந்தப்', 'பழம்', 'இனிமையாக', 'உள்ளது']","['ఈ', 'పండు', 'తీయగా', 'ఉంది']","[('இந்தப்', 'NOUN'), ('பழம்', 'NOUN'), ('இனிமையாக', 'NOUN'), ('உள்ளது', 'NOUN')]","[('ఈ', 'NOUN'), ('పండు', 'NOUN'), ('తీయగా', 'NOUN'), ('ఉంది', 'NOUN')]","[('இந்தப்', 'O'), ('பழம்', 'O'), ('இனிமையாக', 'O'), ('உள்ளது', 'O')]","[('ఈ', 'O'), ('పండు', 'O'), ('తీయగా', 'O'), ('ఉంది', 'O')]"
నేను మీతో రావాలనుకుంటున్నాను,நான் உங்களுடன் வர விரும்புகிறேன்,"['நான்', 'உங்களுடன்', 'வர', 'விரும்புகிறேன்']","['నేను', 'మీతో', 'రావాలనుకుంటున్నాను']","[('நான்', 'NOUN'), ('உங்களுடன்', 'NOUN'), ('வர', 'NOUN'), ('விரும்புகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('మీతో', 'NOUN'), ('రావాలనుకుంటున్నాను', 'NOUN')]","[('நான்', 'O'), ('உங்களுடன்', 'O'), ('வர', 'O'), ('விரும்புகிறேன்', 'O')]","[('నేను', 'O'), ('మీతో', 'O'), ('రావాలనుకుంటున్నాను', 'O')]"
నువ్వు నన్ను వేచి ఉండు,நீ என்னை காத்திரு,"['நீ', 'என்னை', 'காத்திரு']","['నువ్వు', 'నన్ను', 'వేచి', 'ఉండు']","[('நீ', 'NOUN'), ('என்னை', 'NOUN'), ('காத்திரு', 'NOUN')]","[('నువ్వు', 'NOUN'), ('నన్ను', 'NOUN'), ('వేచి', 'NOUN'), ('ఉండు', 'NOUN')]","[('நீ', 'O'), ('என்னை', 'O'), ('காத்திரு', 'O')]","[('నువ్వు', 'O'), ('నన్ను', 'O'), ('వేచి', 'O'), ('ఉండు', 'O')]"
నేను అది ఇప్పడు చేయలేదా,நான் அதை இப்போது செய்யவில்லையா,"['நான்', 'அதை', 'இப்போது', 'செய்யவில்லையா']","['నేను', 'అది', 'ఇప్పడు', 'చేయలేదా']","[('நான்', 'NOUN'), ('அதை', 'NOUN'), ('இப்போது', 'NOUN'), ('செய்யவில்லையா', 'NOUN')]","[('నేను', 'NOUN'), ('అది', 'NOUN'), ('ఇప్పడు', 'NOUN'), ('చేయలేదా', 'NOUN')]","[('நான்', 'O'), ('அதை', 'O'), ('இப்போது', 'O'), ('செய்யவில்லையா', 'O')]","[('నేను', 'O'), ('అది', 'O'), ('ఇప్పడు', 'O'), ('చేయలేదా', 'O')]"
మీ పుట్టిన రోజు ఎప్పుడు,உங்கள் பிறந்த நாள் எப்போது,"['உங்கள்', 'பிறந்த', 'நாள்', 'எப்போது']","['మీ', 'పుట్టిన', 'రోజు', 'ఎప్పుడు']","[('உங்கள்', 'NOUN'), ('பிறந்த', 'NOUN'), ('நாள்', 'NOUN'), ('எப்போது', 'NOUN')]","[('మీ', 'NOUN'), ('పుట్టిన', 'NOUN'), ('రోజు', 'NOUN'), ('ఎప్పుడు', 'NOUN')]","[('உங்கள்', 'O'), ('பிறந்த', 'O'), ('நாள்', 'O'), ('எப்போது', 'O')]","[('మీ', 'O'), ('పుట్టిన', 'O'), ('రోజు', 'O'), ('ఎప్పుడు', 'O')]"
అతను త్వరగా తిరిగి వస్తాడు,அவன் விரைவில் திரும்பிவிடுவான்,"['அவன்', 'விரைவில்', 'திரும்பிவிடுவான்']","['అతను', 'త్వరగా', 'తిరిగి', 'వస్తాడు']","[('அவன்', 'NOUN'), ('விரைவில்', 'POSTP'), ('திரும்பிவிடுவான்', 'NOUN')]","[('అతను', 'NOUN'), ('త్వరగా', 'NOUN'), ('తిరిగి', 'NOUN'), ('వస్తాడు', 'NOUN')]","[('அவன்', 'O'), ('விரைவில்', 'O'), ('திரும்பிவிடுவான்', 'O')]","[('అతను', 'O'), ('త్వరగా', 'O'), ('తిరిగి', 'O'), ('వస్తాడు', 'O')]"
ఈ లైన్ బాగుంది,இந்தக் கோடு நல்லது,"['இந்தக்', 'கோடு', 'நல்லது']","['ఈ', 'లైన్', 'బాగుంది']","[('இந்தக்', 'NOUN'), ('கோடு', 'NOUN'), ('நல்லது', 'NOUN')]","[('ఈ', 'NOUN'), ('లైన్', 'NOUN'), ('బాగుంది', 'NOUN')]","[('இந்தக்', 'O'), ('கோடு', 'O'), ('நல்லது', 'O')]","[('ఈ', 'O'), ('లైన్', 'O'), ('బాగుంది', 'O')]"
నేను మీ సహాయాన్ని పొందాలనుకుంటున్నాను,நான் உங்கள் உதவியைப் பெற விரும்புகிறேன்,"['நான்', 'உங்கள்', 'உதவியைப்', 'பெற', 'விரும்புகிறேன்']","['నేను', 'మీ', 'సహాయాన్ని', 'పొందాలనుకుంటున్నాను']","[('நான்', 'NOUN'), ('உங்கள்', 'NOUN'), ('உதவியைப்', 'NOUN'), ('பெற', 'NOUN'), ('விரும்புகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('మీ', 'NOUN'), ('సహాయాన్ని', 'NOUN'), ('పొందాలనుకుంటున్నాను', 'NOUN')]","[('நான்', 'O'), ('உங்கள்', 'O'), ('உதவியைப்', 'O'), ('பெற', 'O'), ('விரும்புகிறேன்', 'O')]","[('నేను', 'O'), ('మీ', 'O'), ('సహాయాన్ని', 'O'), ('పొందాలనుకుంటున్నాను', 'O')]"
ఈసారి నాకు కుదరదు,இந்த முறை என்னால் முடியாது,"['இந்த', 'முறை', 'என்னால்', 'முடியாது']","['ఈసారి', 'నాకు', 'కుదరదు']","[('இந்த', 'NOUN'), ('முறை', 'NOUN'), ('என்னால்', 'POSTP'), ('முடியாது', 'NOUN')]","[('ఈసారి', 'NOUN'), ('నాకు', 'NOUN'), ('కుదరదు', 'NOUN')]","[('இந்த', 'O'), ('முறை', 'O'), ('என்னால்', 'O'), ('முடியாது', 'O')]","[('ఈసారి', 'O'), ('నాకు', 'O'), ('కుదరదు', 'O')]"
ఇది చాలా ఖరీదైనది,இது மிகவும் விலை உயர்ந்தது,"['இது', 'மிகவும்', 'விலை', 'உயர்ந்தது']","['ఇది', 'చాలా', 'ఖరీదైనది']","[('இது', 'NOUN'), ('மிகவும்', 'NOUN'), ('விலை', 'NOUN'), ('உயர்ந்தது', 'NOUN')]","[('ఇది', 'NOUN'), ('చాలా', 'NOUN'), ('ఖరీదైనది', 'NOUN')]","[('இது', 'O'), ('மிகவும்', 'O'), ('விலை', 'O'), ('உயர்ந்தது', 'O')]","[('ఇది', 'O'), ('చాలా', 'O'), ('ఖరీదైనది', 'O')]"
మీరు ఏమి అడుగుతున్నారు,உங்களிடம் என்ன கேட்கிறீர்கள்,"['உங்களிடம்', 'என்ன', 'கேட்கிறீர்கள்']","['మీరు', 'ఏమి', 'అడుగుతున్నారు']","[('உங்களிடம்', 'NOUN'), ('என்ன', 'NOUN'), ('கேட்கிறீர்கள்', 'NOUN')]","[('మీరు', 'NOUN'), ('ఏమి', 'NOUN'), ('అడుగుతున్నారు', 'NOUN')]","[('உங்களிடம்', 'O'), ('என்ன', 'O'), ('கேட்கிறீர்கள்', 'O')]","[('మీరు', 'O'), ('ఏమి', 'O'), ('అడుగుతున్నారు', 'O')]"
నేను మీతో ఉంటాను,நான் உங்களுடன் இருப்பேன்,"['நான்', 'உங்களுடன்', 'இருப்பேன்']","['నేను', 'మీతో', 'ఉంటాను']","[('நான்', 'NOUN'), ('உங்களுடன்', 'NOUN'), ('இருப்பேன்', 'NOUN')]","[('నేను', 'NOUN'), ('మీతో', 'NOUN'), ('ఉంటాను', 'NOUN')]","[('நான்', 'O'), ('உங்களுடன்', 'O'), ('இருப்பேன்', 'O')]","[('నేను', 'O'), ('మీతో', 'O'), ('ఉంటాను', 'O')]"
నీ సమయం ఎంత,உன் நேரம் என்ன,"['உன்', 'நேரம்', 'என்ன']","['నీ', 'సమయం', 'ఎంత']","[('உன்', 'NOUN'), ('நேரம்', 'NOUN'), ('என்ன', 'NOUN')]","[('నీ', 'NOUN'), ('సమయం', 'VERB'), ('ఎంత', 'NOUN')]","[('உன்', 'O'), ('நேரம்', 'O'), ('என்ன', 'O')]","[('నీ', 'O'), ('సమయం', 'O'), ('ఎంత', 'O')]"
ఈరోజు నేను చాలా అలసిపోయాను,இன்று நான் மிகவும் சோர்வாக இருக்கிறேன்,"['இன்று', 'நான்', 'மிகவும்', 'சோர்வாக', 'இருக்கிறேன்']","['ఈరోజు', 'నేను', 'చాలా', 'అలసిపోయాను']","[('இன்று', 'NOUN'), ('நான்', 'NOUN'), ('மிகவும்', 'NOUN'), ('சோர்வாக', 'NOUN'), ('இருக்கிறேன்', 'NOUN')]","[('ఈరోజు', 'NOUN'), ('నేను', 'NOUN'), ('చాలా', 'NOUN'), ('అలసిపోయాను', 'NOUN')]","[('இன்று', 'O'), ('நான்', 'O'), ('மிகவும்', 'O'), ('சோர்வாக', 'O'), ('இருக்கிறேன்', 'O')]","[('ఈరోజు', 'O'), ('నేను', 'O'), ('చాలా', 'O'), ('అలసిపోయాను', 'O')]"
నేను కొంత సమయం మాట్లాడాలనుకుంటున్నాను,நான் சிறிது நேரம் பேச விரும்புகிறேன்,"['நான்', 'சிறிது', 'நேரம்', 'பேச', 'விரும்புகிறேன்']","['నేను', 'కొంత', 'సమయం', 'మాట్లాడాలనుకుంటున్నాను']","[('நான்', 'NOUN'), ('சிறிது', 'NOUN'), ('நேரம்', 'NOUN'), ('பேச', 'NOUN'), ('விரும்புகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('కొంత', 'NOUN'), ('సమయం', 'VERB'), ('మాట్లాడాలనుకుంటున్నాను', 'NOUN')]","[('நான்', 'O'), ('சிறிது', 'O'), ('நேரம்', 'O'), ('பேச', 'O'), ('விரும்புகிறேன்', 'O')]","[('నేను', 'O'), ('కొంత', 'O'), ('సమయం', 'O'), ('మాట్లాడాలనుకుంటున్నాను', 'O')]"
ఇది ఎంత దూరం ఉంది,இது எவ்வளவு தூரம் உள்ளது,"['இது', 'எவ்வளவு', 'தூரம்', 'உள்ளது']","['ఇది', 'ఎంత', 'దూరం', 'ఉంది']","[('இது', 'NOUN'), ('எவ்வளவு', 'NOUN'), ('தூரம்', 'NOUN'), ('உள்ளது', 'NOUN')]","[('ఇది', 'NOUN'), ('ఎంత', 'NOUN'), ('దూరం', 'VERB'), ('ఉంది', 'NOUN')]","[('இது', 'O'), ('எவ்வளவு', 'O'), ('தூரம்', 'O'), ('உள்ளது', 'O')]","[('ఇది', 'O'), ('ఎంత', 'O'), ('దూరం', 'O'), ('ఉంది', 'O')]"
ఆమె చదువుతున్నప్పుడు చాలా జాగ్రత్తగా ఉంటుంది,அவள் படிக்கும் பொழுது மிகவும் கவனமாக இருக்கிறாள்,"['அவள்', 'படிக்கும்', 'பொழுது', 'மிகவும்', 'கவனமாக', 'இருக்கிறாள்']","['ఆమె', 'చదువుతున్నప్పుడు', 'చాలా', 'జాగ్రత్తగా', 'ఉంటుంది']","[('அவள்', 'NOUN'), ('படிக்கும்', 'NOUN'), ('பொழுது', 'NOUN'), ('மிகவும்', 'NOUN'), ('கவனமாக', 'NOUN'), ('இருக்கிறாள்', 'NOUN')]","[('ఆమె', 'NOUN'), ('చదువుతున్నప్పుడు', 'NOUN'), ('చాలా', 'NOUN'), ('జాగ్రత్తగా', 'NOUN'), ('ఉంటుంది', 'NOUN')]","[('அவள்', 'O'), ('படிக்கும்', 'O'), ('பொழுது', 'O'), ('மிகவும்', 'O'), ('கவனமாக', 'O'), ('இருக்கிறாள்', 'O')]","[('ఆమె', 'O'), ('చదువుతున్నప్పుడు', 'O'), ('చాలా', 'O'), ('జాగ్రత్తగా', 'O'), ('ఉంటుంది', 'O')]"
