Telugu_Tokens,Tamil_Tokens
"['మీరు', 'వంటి', 'ఏదో', 'చూడండి', 'ఉంటే', 'మీరు', 'ఏమి', 'చేస్తారు']","['உங்களை', 'போன்ற', 'எதையாவது', 'நீங்கள்', 'என்ன', 'செய்கிறீர்கள்']"
"['ఒక', 'విషయం', 'ముఖ్యం']","['ஒன்று', 'முக்கியம்']"
['టెలిఫోన్'],['தொலைபேசி']
"['మేము', 'మీతో', 'పని', 'అవకాశం', 'ప్రేమ']","['நாங்கள்', 'வேலை', 'வாய்ப்பு', 'விரும்புகிறேன்']"
"['దాని', 'గురించి', 'వ్రాసిన', 'ప్రతిదీ', 'ఉంది']","['அதை', 'பற்றி', 'எழுதப்பட்ட', 'எல்லாம்', 'உள்ளது']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['కానీ', 'ఈ', 'ఏ', 'నిజం', 'ఉంది']","['ஆனால்', 'இந்த', 'உண்மை', 'இல்லை']"
['టెల్'],['தொலைபேசி']
"['మీరు', 'ఏమిటి', 'కనుగొనేందుకు', 'బహుశా', 'ఇక్కడ', 'ఉన్నాము']","['நீங்கள்', 'என்ன', 'கண்டுபிடிக்க', 'ஒருவேளை', 'இங்கே', 'இருக்கிறோம்']"
"['మిస్లేలొడ్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంటెష్', 'న్యూ', 'ప్యాకేజీ']","['மிஸ்லாலோட்', 'மிமீ', 'முன்பிடித்த', 'வால்யூம்', 'நியூலேஷ்', 'புதிய', 'தொகுப்பு']"
"['నేను', 'ఈ', 'మీరు', 'సహాయం', 'ఆశిస్తున్నాము']","['இதை', 'நான்', 'உனக்கு', 'உதவியாக', 'இருக்கும்', 'என', 'நம்புகிறோம்']"
"['మమ్మల్ని', 'సంప్రదించండి', 'సంకోచించకండి', 'మేము', 'ఎల్లప్పుడూ', 'మీరు', 'సహాయం', 'సిద్ధంగా', 'ఉన్నారు']","['எங்களுக்கு', 'தொடர்பு', 'கொள்ள', 'தயங்க', 'நாம்', 'எப்போதும்', 'உங்களுக்கு', 'உதவ', 'தயாராக', 'உள்ளன']"
"['ఏం', 'మీరు', 'తో', 'తప్పు', 'ఏమిటి', 'ఎందుకు', 'ఈ', 'యూజర్పేరు']","['உனக்கு', 'என்ன', 'ஆயிற்று', 'ஏன்', 'இந்த', 'பயனர்பெயர்']"
"['మీరు', 'ఎంత', 'వేగంగా', 'వివాహం', 'చేసుకోవాలనుకుంటున్నారు']","['எவ்வளவு', 'விரைவாக', 'திருமணம்', 'செய்ய', 'விரும்புகிறீர்கள்']"
"['కూడా', 'చదవండి']","['மேலும்', 'படிக்க']"
"['💡', 'గుర్తుంచుకో']","['💡', 'நினைவில்']"
"['ఎక్కడ', 'మేము']","['நாங்கள்', 'எங்கே', 'இருக்கிறாய்']"
"['ఏం', 'జరిగింది']","['என்ன', 'நடந்தது']"
['టెల్'],['டெல்']
"['ఆయన', 'చెప్పారు']",['பகடை']
"['ఒక', 'మఠం', 'ఏమిటి']","['மடம்', 'என்ன', 'ஆகிறது']"
"['మరింత', 'ఆఫ్']","['மேலும்', 'ஆஃப்']"
"['ఎవరైనా', 'నాకు', 'సహాయం', 'చేయగలరా']","['ஒருவேளை', 'யாராவது', 'எனக்கு', 'உதவ', 'முடியும்']"
"['ఈ', 'నిజంగా', 'ఒక', 'గొప్ప', 'సందేశం']","['இந்த', 'உண்மையில்', 'ஒரு', 'பெரிய', 'செய்தி']"
"['దయచేసి', 'గమనించండి']","['நினைவில்', 'கொள்க']"
"['మనము', 'ఏమి', 'చేద్దాము']","['நாம்', 'என்ன', 'செய்ய', 'வேண்டும்']"
"['జస్ట్', 'మీకు', 'తెలియజేయాలనుకుంటున్నాను']","['உங்களுக்கு', 'தெரியப்படுத்துங்கள்']"
"['ఆమె', 'నిజంగా', 'ఈ', 'ఆనందాన్ని', 'లేదు']","['அவள்', 'உண்மையில்', 'இந்த', 'அனுபவிக்கிறாள்']"
"['నేను', 'ఇప్పుడు', 'అది', 'చదవాలనుకుంటున్న']","['நான்', 'இப்போது', 'அதை', 'படிக்க', 'வேண்டும்']"
"['మీరు', 'దీన్ని', 'ఎలా', 'చేస్తారు']","['அதை', 'எப்படி', 'செய்வது']"
"['అయితే', 'ఇది', 'ఎందుకు', 'చాలా', 'ముఖ్యమైనది']","['சரி', 'இது', 'எதனால்', 'முக்கியமானதாகக்', 'கருதப்படுகிறது']"
"['మేము', 'భిన్నంగా', 'పనులు', 'ఒక', 'బిట్', 'మరియు', 'మేము', 'ఇష్టపడతారని', 'మార్గం']","['நாம்', 'வித்தியாசமாக', 'விஷயங்களை', 'ஒரு', 'பிட்', 'செய்ய', 'அந்த', 'நாம்', 'பிடிக்கும்', 'வழி']"
"['కాని', 'అతను', 'ఆమె', 'ఎలా', 'ఆగిపోతుంది']","['ஆனால்', 'அவன்', 'அவளை', 'எப்படி', 'நிறுத்திவிடுவார்']"
['ఏప్రిల్'],['ஏப்ரல்']
"['హలో', 'మీరు', 'ఎలా', 'ఉన్నారు']","['ஹலோ', 'நீ', 'எப்படி', 'இருக்கிறாய்']"
['ఫోన్'],['தொலைபேசி']
['టెల్'],['தொலைபேசி']
"['ఎందుకు', 'నేను', 'కూడా', 'ప్రయత్నించాలి']","['நான்', 'ஏன்', 'கூட', 'முயற்சிக்க', 'வேண்டும்']"
"['మనిషి', 'అదా', 'నాకు', 'తెలియదు']","['இளைஞன்', 'ஆம்', 'அது', 'எனக்கு', 'தெரியாது']"
"['మేము', 'మీకోసం', 'వేచి', 'ఉన్నాము']","['நாங்கள்', 'உங்களுக்காக', 'காத்திருக்கிறோம்']"
"['మరో', 'విషయం', 'మీకు', 'తెలియదు']","['உங்களுக்கு', 'இன்னொரு', 'விஷயம்', 'தெரியாது']"
"['మేము', 'దేవుని', 'నేరుగా', 'వెళ్ళవచ్చు']","['நாம்', 'கடவுளிடம்', 'நேரடியாக', 'செல்ல', 'முடியும்']"
"['మీ', 'సహాయం', 'కావాలి']","['உங்கள்', 'உதவி', 'தேவை']"
"['ఎందుకు', 'మీరు', 'ఎల్లప్పుడూ', 'కలిగి', 'అనుకుంటున్నారు']","['ஏன்', 'நீங்கள்', 'எப்போதும்', 'வேண்டும்', 'என்று', 'விரும்புகிறீர்கள்']"
['ఫోన్'],['தொலைபேசி']
"['మాకు', 'సహకరించిన', 'దయచేసి']","['எங்களை', 'ஒத்துைழயுங்கள்', 'கொள்ளவும்']"
"['మీరు', 'ఏ', 'అవసరం', 'ఉంటే', 'దయచేసి', 'ఏ', 'సమయంలో', 'మాకు', 'సంప్రదించండి']","['நீங்கள்', 'எந்த', 'தேவை', 'இருந்தால்', 'எந்த', 'நேரத்தில்', 'எங்களை', 'தொடர்பு']"
"['ఎంత', 'జేబులో', 'డబ్బు', 'ఉండాలి']","['எவ்வளவு', 'பாக்கெட்', 'பணம்', 'இருக்க', 'வேண்டும்']"
"['చెడు', 'లేదు', 'కుడి']","['மோசமான', 'இல்லையா']"
"['మిస్లేలొడ్', 'ప్రీఫిన్డ్', 'వాల్యూమ్', 'వెంటెష్', 'న్యూ', 'ప్యాకేజీ']","['முன்புதைந்த', 'தொகுதி', 'கண்ணிமை', 'புதிய', 'தொகுப்பு', 'சுருட்டை']"
['గంట'],"['மணி', 'நேரம்']"
"['సెలీనా', 'నేను', 'మీరు', 'సహాయం', 'మే']","['செலீனா', 'நான்', 'உங்களுக்கு', 'உதவலாமா']"
['ఫ్యాక్స్'],['தொலைநகல்']
"['అయితే', 'మంచి', 'ఉద్యోగం']","['எனினும்', 'நல்ல', 'வேலை']"
"['మేము', 'దేవుని', 'కోసం', 'మా', 'బహుమతులు', 'ఎలా', 'ఉపయోగించగలను']","['எப்படி', 'நாம்', 'கடவுள்மீது', 'பரிசுகள்', 'பயன்படுத்தவும்']"
